"","player_name","id","season","plays","exp_speed","avg_speed","avg_soe","forty","combine_season","twenty","ten","combine_weight","position","speed_score","speed_perc","speed_rank","adj_forty"
"75","Josh Norman",1290,2018,4,3.05521488189697,3.33703009548538,0.281815213588407,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,60.9,75,4.44
"76","Josh Norman",7649,2018,4,3.05521488189697,3.33703009548538,0.281815213588407,4.61,2012,2.72,1.59,197,"CB",0.0234010152284264,60.9,76,4.44
"77","Blessuan Austin",50434,2020,16,3.02094396948814,3.30251534960609,0.281571380117948,4.69,2019,2.63671171171171,1.58306306306306,198,"CB",0.0236868686868687,60.9,77,4.44
"78","Amani Oruwariye",50533,2020,9,3.14956140518188,3.42384963844634,0.274288233264458,4.47,2019,2.63671171171171,1.58306306306306,205,"CB",0.0218048780487805,60.5,78,4.45
"79","Troy Hill",9881,2018,5,2.36013400554657,2.62844793007406,0.268313924527489,4.55,2015,2.66,1.6,182,"CB",0.025,60.2,79,4.45
"80","Troy Hill",93601,2018,5,2.36013400554657,2.62844793007406,0.268313924527489,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,60.2,80,4.45
"81","Trevor Williams",11004,2018,7,3.04176604747772,3.3089941990308,0.26722815155308,4.48,2016,2.68,1.62,191,"CB",0.023455497382199,60.2,81,4.45
"82","Trevor Williams",32477,2018,7,3.04176604747772,3.3089941990308,0.26722815155308,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,60.2,82,4.45
"83","Trevor Williams",37376,2018,7,3.04176604747772,3.3089941990308,0.26722815155308,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,60.2,83,4.45
"84","Trevor Williams",103810,2018,7,3.04176604747772,3.3089941990308,0.26722815155308,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,60.2,84,4.45
"85","Ahkello Witherspoon",11821,2018,11,3.46755014766346,3.73249090047725,0.264940752813786,4.45,2017,2.57,1.53,198,"CB",0.0224747474747475,60.1,85,4.45
"86","Erik Harris",10346,2020,13,3.46085291642409,3.72262947128681,0.261776554862715,4.61,2012,2.77,1.69,226,"S",0.0203982300884956,59.9,86,4.46
"87","Erik Harris",34199,2020,13,3.46085291642409,3.72262947128681,0.261776554862715,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,59.9,87,4.46
"88","P.J. Williams",9511,2020,4,2.63483074307442,2.89630820459353,0.261477461519114,4.57,2015,2.63,1.55,194,"CB",0.0235567010309278,59.9,88,4.46
"89","Eli Apple",10644,2019,8,2.99281325936317,3.25165514493294,0.258841885569761,4.4,2016,2.59,1.57,199,"CB",0.0221105527638191,59.8,89,4.46
"90","Isaiah Oliver",50393,2019,13,3.16589095042302,3.42390411240809,0.258013161985074,4.5,2018,2.65,1.6,201,"CB",0.0223880597014925,59.7,90,4.46
"91","Justin Evans",11805,2018,7,2.83904339585985,3.09606093523956,0.257017539379707,4.64,2017,2.74,1.62,199,"S",0.0233165829145729,59.7,91,4.46
"92","Justin Evans",15881,2018,7,2.83904339585985,3.09606093523956,0.257017539379707,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,59.7,92,4.46
"93","Justin Evans",46946,2018,7,2.83904339585985,3.09606093523956,0.257017539379707,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,59.7,93,4.47
"94","Justin Evans",66352,2018,7,2.83904339585985,3.09606093523956,0.257017539379707,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,59.7,94,4.47
"95","Jalen Ramsey",10639,2018,12,2.51872013012568,2.77329430326586,0.25457417314018,4.41,2016,2.57,1.51,209,"CB",0.0211004784688995,59.5,95,4.47
"96","Michael Jacquet III",47826,2020,4,3.95415276288986,4.19588155222856,0.2417287893387,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,58.9,96,4.47
"97","Nevin Lawson",8768,2020,9,3.3923655351003,3.63318397202351,0.240818436923206,4.48,2014,2.66,1.59,190,"CB",0.0235789473684211,58.8,97,4.47
"98","Jason McCourty",5127,2020,8,3.67667987942696,3.91404479471753,0.237364915290573,4.34,2009,2.58,1.51,193,"CB",0.0224870466321244,58.7,98,4.47
"99","Malcolm Butler",9040,2019,12,3.21038011709849,3.41984773249199,0.209467615393499,4.66,2014,2.82,1.67,187,"CB",0.0249197860962567,57.3,99,4.47
"100","Bobby McCain",9578,2018,6,2.86341877778371,3.07123792819321,0.207819150409501,4.51,2015,2.63,1.59,195,"CB",0.0231282051282051,57.2,100,4.47
"101","William Jackson III",10658,2019,9,3.53207153744168,3.7377540375703,0.205682500128622,4.37,2016,2.56,1.52,189,"CB",0.0231216931216931,57.1,101,4.47
"102","Kareem Jackson",5545,2018,4,3.290651679039,3.49286750667813,0.202215827639134,4.4,2010,2.61,1.55,196,"CB",0.0224489795918367,56.9,102,4.48
"103","Jamel Dean",34918,2020,9,2.4527858098348,2.65255981978544,0.199774009950645,4.3,2019,2.63671171171171,1.58306306306306,206,"CB",0.020873786407767,56.8,103,4.48
"104","Torry McTyer",49357,2018,4,2.55359843373299,2.75335691139674,0.199758477663751,4.45,2017,2.64,1.62,178,"CB",0.025,56.8,104,4.48
"105","Darious Williams",55724,2020,14,3.03836335454668,3.2331058880668,0.194742533520116,4.48,2018,2.64,1.58,184,"CB",0.0243478260869565,56.5,105,4.48
"106","Cameron Dantzler",42472,2020,4,3.91840517520904,4.10274576041297,0.184340585203928,4.64,2020,2.63671171171171,1.58306306306306,188,"CB",0.0246808510638298,56,106,4.48
"107","Bradley McDougald",8220,2018,4,2.83832317590714,3.01654668774251,0.178223511835372,4.55,2013,2.81,1.72,215,"S",0.0211627906976744,55.7,107,4.48
"108","Rock Ya-Sin",49564,2019,9,2.81726214620802,2.99202097786447,0.174758831656453,4.51,2019,2.63671171171171,1.58306306306306,192,"CB",0.0234895833333333,55.5,108,4.48
"109","Adrian Amos",9575,2018,9,2.91471807161967,3.08898788245649,0.174269810836823,4.56,2015,2.65,1.6,218,"S",0.0209174311926605,55.5,109,4.48
"110","Marcus Williams",2886,2019,6,3.2012228568395,3.37421546621577,0.172992609376268,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,55.4,110,4.48
"111","Marcus Williams",9115,2019,6,3.2012228568395,3.37421546621577,0.172992609376268,4.61,2014,2.72,1.64,196,"CB",0.0235204081632653,55.4,111,4.48
"112","Marcus Williams",11797,2019,6,3.2012228568395,3.37421546621577,0.172992609376268,4.56,2017,2.68,1.61,202,"S",0.0225742574257426,55.4,112,4.48
"113","Marcus Williams",26390,2019,6,3.2012228568395,3.37421546621577,0.172992609376268,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,55.4,113,4.48
"114","Marcus Williams",32375,2019,6,3.2012228568395,3.37421546621577,0.172992609376268,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,55.4,114,4.49
"115","Marcus Williams",60973,2019,6,3.2012228568395,3.37421546621577,0.172992609376268,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,55.4,115,4.49
"116","Marcus Williams",90346,2019,6,3.2012228568395,3.37421546621577,0.172992609376268,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,55.4,116,4.49
"117","Marcus Williams",99458,2019,6,3.2012228568395,3.37421546621577,0.172992609376268,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,55.4,117,4.49
"118","Marcus Williams",100958,2019,6,3.2012228568395,3.37421546621577,0.172992609376268,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,55.4,118,4.49
"119","Marcus Williams",111592,2019,6,3.2012228568395,3.37421546621577,0.172992609376268,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,55.4,119,4.49
"120","Marcus Williams",115512,2019,6,3.2012228568395,3.37421546621577,0.172992609376268,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,55.4,120,4.49
"121","Marcus Williams",142130,2019,6,3.2012228568395,3.37421546621577,0.172992609376268,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,55.4,121,4.49
"122","Marcus Williams",145407,2019,6,3.2012228568395,3.37421546621577,0.172992609376268,4.4954132231405,NA,2.63671171171171,1.58306306306306,NA,NA,NA,55.4,122,4.4954132231405
